Date,Open,High,Low,Close,Volume,Adj Close
2015-06-23,136.949997,137.25,136.789993,137.100006,270500,137.100006
2015-06-22,135.160004,136.350006,135.160004,135.479996,263100,135.479996
2015-06-19,134.479996,134.619995,133.940002,134.020004,179800,134.020004
2015-06-18,133.50,134.850006,133.50,134.479996,246300,134.479996
2015-06-17,134.309998,135.089996,133.75,134.869995,344900,134.869995
2015-06-16,135.699997,136.169998,135.509995,136.059998,179200,136.059998
2015-06-15,135.199997,135.830002,135.169998,135.509995,292700,135.509995
2015-06-12,135.449997,135.869995,135.089996,135.490005,191400,135.490005
2015-06-11,135.240005,135.509995,134.899994,135.179993,152600,135.179993
2015-06-10,133.839996,134.589996,133.729996,134.240005,166200,134.240005
2015-06-09,132.50,132.740005,131.919998,132.300003,236300,132.300003
2015-06-08,133.580002,133.899994,132.619995,133.149994,304900,133.149994
2015-06-05,135.990005,135.990005,135.259995,135.509995,167200,135.509995
2015-06-04,136.929993,137.529999,136.630005,136.850006,231000,136.850006
2015-06-03,137.509995,137.880005,137.00,137.440002,240300,137.440002
2015-06-02,136.740005,137.149994,136.470001,136.570007,275900,136.570007
2015-06-01,137.800003,137.979996,136.809998,137.240005,280100,137.240005
2015-05-29,138.740005,138.740005,137.509995,137.889999,310600,137.889999
2015-05-28,138.850006,139.960007,138.820007,139.740005,220000,139.740005
2015-05-27,138.720001,139.00,138.309998,138.770004,247000,138.770004
2015-05-26,138.470001,138.470001,137.139999,137.699997,293200,137.699997
2015-05-22,137.979996,138.660004,137.910004,138.220001,202800,138.220001
2015-05-21,138.779999,139.550003,138.779999,139.440002,141900,139.440002
2015-05-20,139.199997,139.649994,138.770004,139.009995,121000,139.009995
2015-05-19,139.850006,140.240005,139.279999,139.529999,223700,139.529999
2015-05-18,139.389999,139.490005,139.149994,139.429993,141300,139.429993
2015-05-15,138.649994,139.389999,138.649994,139.369995,177700,139.369995
2015-05-14,137.729996,137.990005,136.960007,137.949997,150400,137.949997
2015-05-13,137.350006,137.940002,136.520004,136.619995,359700,136.619995
2015-05-12,137.509995,138.050003,137.00,137.660004,579400,137.660004
2015-05-11,137.880005,138.360001,137.419998,137.449997,756700,137.449997
2015-05-08,139.50,142.339996,139.369995,142.119995,319400,142.119995
2015-05-07,136.860001,138.059998,136.839996,137.919998,208500,137.919998
2015-05-06,137.320007,137.990005,136.50,137.160004,322500,137.160004
2015-05-05,139.460007,139.800003,137.449997,137.550003,266100,137.550003
2015-05-04,139.789993,140.429993,139.580002,140.059998,172000,140.059998
2015-05-01,138.75,139.960007,138.720001,139.960007,247100,139.960007
2015-04-30,140.00,140.320007,138.710007,139.020004,246800,139.020004
2015-04-29,141.330002,142.470001,140.070007,140.789993,282900,140.789993
2015-04-28,142.179993,142.839996,141.600006,142.059998,421900,142.059998
2015-04-27,140.960007,141.25,140.550003,140.660004,273000,140.660004
2015-04-24,141.259995,141.470001,140.979996,141.210007,277500,141.210007
2015-04-23,141.160004,141.279999,140.619995,141.029999,393000,141.029999
2015-04-22,141.470001,141.889999,141.169998,141.660004,163600,141.660004
2015-04-21,141.369995,141.899994,141.279999,141.330002,365800,141.330002
2015-04-20,138.740005,139.339996,138.639999,138.729996,151600,138.729996
2015-04-17,138.990005,139.029999,138.00,138.429993,253900,138.429993
2015-04-16,139.179993,139.50,138.789993,138.979996,186500,138.979996
2015-04-15,139.229996,139.380005,138.679993,139.080002,177600,139.080002
2015-04-14,138.690002,138.979996,138.130005,138.660004,171600,138.660004
2015-04-13,137.669998,138.00,137.199997,137.559998,320200,137.559998
2015-04-10,138.710007,139.820007,138.660004,139.649994,320300,139.649994
2015-04-09,139.100006,140.119995,139.00,139.910004,276700,139.910004
2015-04-08,139.860001,140.369995,139.539993,139.940002,142100,139.940002
2015-04-07,140.100006,140.639999,139.649994,139.720001,260800,139.720001
2015-04-06,140.00,141.210007,140.00,140.639999,157800,140.639999
2015-04-02,139.830002,140.899994,139.630005,140.020004,249000,140.020004
2015-04-01,138.330002,138.660004,137.770004,138.479996,358900,138.479996
2015-03-31,140.880005,140.940002,139.710007,139.889999,555100,139.889999
2015-03-30,141.669998,142.940002,141.380005,142.550003,484100,142.550003
2015-03-27,142.339996,142.509995,141.720001,142.399994,238100,142.399994
2015-03-26,143.00,143.660004,142.710007,143.110001,324400,143.110001
2015-03-25,145.25,145.25,143.779999,143.809998,328600,143.809998
2015-03-24,145.229996,145.229996,144.399994,144.520004,303700,144.520004
2015-03-23,145.330002,145.800003,144.949997,145.320007,480700,145.320007
2015-03-20,142.639999,143.50,142.529999,143.089996,406900,143.089996
2015-03-19,140.139999,140.589996,139.649994,140.100006,310600,140.100006
2015-03-18,139.100006,140.259995,138.490005,140.080002,457900,140.080002
2015-03-17,137.089996,137.369995,136.600006,136.960007,816400,136.960007
2015-03-16,137.360001,138.139999,137.160004,137.520004,271000,137.520004
2015-03-13,135.860001,136.380005,135.460007,136.169998,393200,136.169998
2015-03-12,136.169998,137.669998,136.169998,137.529999,313200,137.529999
